Symbol,Date,Eps,Revenue
ABCB,2024-12-31,1.37,281.209
ABCB,2024-09-30,1.44,275.253
ABCB,2024-06-30,1.32,290.0
ABCB,2024-03-31,1.08,257.341
ABCB,2023-12-31,0.96,253.301
ABCB,2023-09-30,1.16,263.002
ABCB,2023-06-30,0.91,267.27
ABCB,2023-03-31,0.87,258.936
ABCB,2022-12-31,1.19,263.73
ABCB,2022-09-30,1.34,268.566
ABCB,2022-06-30,1.3,264.789
ABCB,2022-03-31,1.18,251.501
ABCB,2021-12-31,1.18,220.133
ABCB,2021-09-30,1.18,237.846
ABCB,2021-06-30,1.27,250.47
ABCB,2021-03-31,1.8,282.403
ABCB,2020-12-31,1.36,274.443
ABCB,2020-09-30,1.68,320.754
ABCB,2020-06-30,0.47,283.824
ABCB,2020-03-31,0.28,200.126
ABCB,2019-12-31,0.88,209.366
ABCB,2019-09-30,0.31,224.668
ABCB,2019-06-30,0.82,135.908
ABCB,2019-03-31,0.84,129.255
ABCB,2018-12-31,0.92,128.85
ABCB,2018-09-30,0.87,127.961
ABCB,2018-06-30,0.24,106.261
ABCB,2018-03-31,0.7,94.716
