Symbol,Screeners,NumberOfSpikes,RSI_Against_Market_1m,rank,Price_Increase_Percentage,Volume-Acceleration(%)
DGNX,5,1,59.78998781201128,10,2191.944444444445,
MCTR,5,1,77.64875775256874,11,219.1489361702128,
INR,4,,53.65393169850195,2,35.13513513513514,
DMAAU,4,,92.22004883227568,6,8.200000000000003,
ZYBT,4,1,64.19634611823815,,64.86486486486484,
PHH,4,1,58.605191907894365,,100.0,
AAPG,4,,81.43973302083256,8,29.69696969696969,
MTSR,4,,79.1563940591156,1,35.63455973542787,
BBNX,4,,85.4800975181507,3,41.12903225806452,
SFD,4,,54.24161670038146,7,15.340314136125652,
SVCCU,4,,81.75320101476892,4,0.8999999999999986,
COLAU,4,,68.1500335407541,9,1.3986013986014043,
FGMCU,4,,50.83397105159901,5,1.6427104722792623,
SPHAU,3,,50.0,,2.102102102102093,
TTAN,3,,82.68044857098417,,26.35379061371841,
MIMI,3,,90.83840957078768,,78.59007832898172,
CEPO,3,,57.99215783078614,,1.0956175298804902,
MLACU,3,,70.61062056598891,,1.9999999999999927,
HVIIU,3,,92.88106395770413,,1.1033099297893625,
DRDBU,3,,50.50080904325189,,5.7401812688821785,
AVR,3,,59.98462573974606,,72.35294117647058,
HIT,3,,67.0394712889453,,57.26141078838174,
FLOC,3,,91.32601211716769,,32.49348392701998,
PLMKU,3,,82.77868394642937,,7.185628742514977,
NTCL,3,,60.342983951429424,,114.81481481481481,
UFG,3,,76.61980480695802,,33.50785340314136,
RANGU,3,,50.6463660268127,,10.500000000000007,
TAVIU,3,,50.308722718786605,,7.707707707707703,
PROCW,2,,,,0.0,
TALKW,2,,,,36.36363636363636,
RDZNW,2,,,,49.999999999999986,
ZVZZT,2,,,,7.08333333333333,
GSMGW,2,,,,,
SKBL,2,,,,33.75796178343949,
CMPOW,2,,,,10.022779043280192,
BROGW,2,,,,,
RGTIW,2,,,,23.706896551724153,
SOUNW,2,,,,11.915887850467284,
AILEW,2,,,,0.0,
MARXR,2,,,,139.99999999999997,
SVIIW,2,,,,33.33333333333334,
NNNN,2,,,,48.64864864864866,
ESGLW,2,,,,0.0,
GRRRW,2,,,,63.30275229357797,
LGHLW,2,,,,inf,
CIFRW,2,,,,30.434782608695667,
GOEVW,2,,,,0.0,
BLACR,2,,,,30.0,
BRKHW,2,,,,21.999999999999996,
ADNWW,2,,,,0.0,
ISRLW,2,,,,0.0,
DAVEW,2,,,,31.57894736842105,
ZWZZT,2,,,,0.0,
GODNR,2,,,,28.260869565217376,
AUROW,2,,,,24.444444444444432,
CORZW,2,,,,29.10447761194032,
DHAIW,2,,,,0.0,
AAGRW,2,,,,,
FLDDW,2,,,,25.000000000000007,
MVSTW,2,,,,29.411764705882344,
SVMHW,2,,,,199.99999999999994,
XBPEW,2,,,,100.0,
SHFSW,2,,,,49.999999999999986,
LUNRW,2,,,,112.29508196721312,
RFACR,2,,,,42.10526315789475,
NIVFW,2,,,,33.33333333333334,
GDSTR,2,,,,0.0,
LILM,2,,,,0.0,
HTZWW,2,,,,8.755760368663593,
NMHIW,2,,,,0.0,
