Symbol,RSI_6M
DGICB,100.0
GTPS,100.0
DMYY,100.0
PCLB,100.0
SENEB,100.0
UI,100.0
TLGYF,100.0
ATROB,99.83766233766237
ZS,98.95470383275263
NRDBY,98.61751152073735
JBL,98.59783301465903
UBOH,98.12265331664578
DOMO,97.01492537313433
TPC,97.01219512195122
DBSDY,96.79658302189004
VRSN,96.72645739910318
SWTX,96.27766599597588
CFSB,96.01910828025477
CLBR,95.83333333333336
RNMBY,95.44198895027627
ALMU,95.26387009472258
LLYVK,95.0
OPOF,94.91298527443102
FJTSY,94.76923076923082
NFLX,94.52336448598132
FHI,94.42934782608691
LFCBY,94.40000000000006
TW,94.11764705882345
OPFI,94.04761904761904
CVLT,94.04494382022472
FNMA,93.89587073608618
AXAHY,93.87129724208374
NET,93.7812567949554
KT,93.61702127659564
MYTAY,93.29545454545452
CFRUY,93.12267657992564
FNCH,93.11023622047244
CCRD,92.99820466786355
CIXXF,92.79279279279264
SIBN,92.55617977528088
CVNA,92.39750203638339
ADP,92.386685552408
ADRNY,92.34693877551027
MCK,92.27053140096614
ISNPY,92.00913242009136
NFG,91.82222222222221
RGLD,91.54481881754619
CIHKY,91.32602193419743
ONIT,91.25364431486882
TELNY,91.12426035502958
SGAPY,91.09848484848487
FDP,91.08280254777068
LBRDK,90.61012548680225
ALIZY,90.29585798816575
KDDIY,90.02976190476197
OSIS,90.00706214689262
NTDOY,89.88095238095241
PPTA,89.8243045387994
CICHY,89.58333333333329
NPSNY,89.43472409152086
HRTG,89.24731182795699
PRDO,89.10550458715596
SLF,89.06752411575563
ISBA,88.8349514563108
GBFH,88.80407124681935
DANOY,88.7218045112783
KMI,88.69731800766283
GILD,88.59616108392923
TCEHY,88.32199546485259
PODD,88.24008138351982
EXE,88.22544642857143
XIACY,88.17934782608698
MYFW,88.12095032397401
SGI,88.06584362139917
NEON,87.98283261802572
KTOS,87.87593984962405
FRFHF,87.83753222669498
FNMAS,87.81725888324871
PBI,87.30964467005069
BAP,87.28789186079956
CCHGY,87.20568636161707
SWDBY,87.05882352941177
GCMG,87.02290076335878
HCMLY,86.97674418604662
DNKEY,86.87350835322194
IPI,86.84210526315793
HKXCY,86.72680412371132
MELI,86.55445188547802
FOX,86.5136298421808
NC,86.48648648648651
JG,86.25506985128436
BYDDF,86.22641509433961
HSBC,86.18376928236086
SOBKY,86.1313868613138
TXNM,85.96750369276222
ORLA,85.85365853658536
LTBR,85.70736434108525
DTEGY,85.66666666666667
HOOD,85.61983471074379
AAMI,85.35714285714286
BKSC,85.27131782945739
NAGE,84.59259259259261
SIEGY,84.27707531610776
IBDRY,84.13284132841324
KBCSY,84.05197873597163
OR,84.03100775193793
SSBK,83.98203592814363
SSREY,83.72641509433966
EADSY,83.57142857142863
CAAP,82.98319327731095
AMADY,82.52427184466035
CTAS,82.17332734620567
MT,81.86915887850463
LSBK,81.74807197943443
ANGO,81.69934640522877
LNSTY,81.58458244111351
JOYY,81.33561643835604
VSEC,80.82127858142795
ADYEY,80.76923076923079
TTWO,79.3623520427644
BHKLY,79.19725893294176
ALCO,79.16666666666663
BH,78.62756952841593
KRYAY,77.2678762006403
HSAI,76.57864523536165
TR,74.18772563176896
IROQ,71.93877551020427
